638,.zip,application/x-zip-compressed
639,.zip,application/zip
640,.zip,multipart/x-zip
641,.zoo,application/octet-stream
642,.zsh,text/x-script.zsh
643,.wma,audio/x-ms-wma
644,.wax,audio/x-ms-wax
645,.wmv,audio/x-ms-wmv
647,.wvx,video/x-ms-wvx
648,.wm,video/x-ms-wm
649,.wmx,video/x-ms-wmx
650,.wmz,application/x-ms-wmz
651,.wmd,application/x-ms-wmd
